ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,SG_PARTIDO,NM_COLIGACAO,DS_NACIONALIDADE,SG_UF_NASCIMENTO,DT_NASCIMENTO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SIT_TOT_TURNO,ST_REELEICAO,DS_SITUACAO_CANDIDATO_PLEITO
2018,GO,DEPUTADO FEDERAL,DILVO DE ARAÚJO CONSTANTINO,DILVO CONSTANTINO,APTO,DEFERIDO,COLIGAÇÃO,PSL,PÁTRIA E FAMÍLIA CRISTÃ,BRASILEIRA NATA,GO,06/08/1972,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,CE,DEPUTADO FEDERAL,HUDSON CLEDIO ARAUJO RIBEIRO,SARGENTO HUDSON CLEDIO BRASIL,APTO,DEFERIDO,PARTIDO ISOLADO,PROS,PARTIDO ISOLADO,BRASILEIRA NATA,CE,04/11/1971,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,2500000,SUPLENTE,N,DEFERIDO
2018,MG,DEPUTADO FEDERAL,FLAVIA VALLE VERNASCHI,FLAVIA VALLE,APTO,DEFERIDO,COLIGAÇÃO,PSOL,FRENTE MINAS SOCIALISTA,BRASILEIRA NATA,SP,15/02/1984,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,MG,DEPUTADO FEDERAL,JORGE LUIS CANHESTRO SANTOS,JORGE CANHESTRO (ELVIS),APTO,DEFERIDO,COLIGAÇÃO,PSOL,FRENTE MINAS SOCIALISTA,BRASILEIRA NATA,MG,01/11/1966,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,SP,DEPUTADO FEDERAL,VITOR ROCCA CRITELLI JUNIOR,PROF. VITOR,INAPTO,INDEFERIDO,PARTIDO ISOLADO,DC,PARTIDO ISOLADO,BRASILEIRA NATA,SP,06/11/1954,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,NÃO ELEITO,N,INDEFERIDO COM RECURSO
2018,SC,DEPUTADO FEDERAL,PAMELLA NAIR RODRIGUES,PAMELLA RODRIGUES,APTO,DEFERIDO,PARTIDO ISOLADO,NOVO,PARTIDO ISOLADO,BRASILEIRA NATA,SC,21/11/1985,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,RS,DEPUTADO FEDERAL,YEDA RORATO CRUSIUS,YEDA CRUSIUS,APTO,DEFERIDO,COLIGAÇÃO,PSDB,COLIGAÇÃO RIO GRANDE UNIDO E FORTE,BRASILEIRA NATA,SP,26/07/1944,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,2500000,SUPLENTE,S,DEFERIDO
2018,SP,DEPUTADO FEDERAL,MARIA CRISTINA DE OLIVEIRA,CRIS OLIVEIRA,INAPTO,RENÚNCIA,PARTIDO ISOLADO,NOVO,PARTIDO ISOLADO,BRASILEIRA NATA,SP,19/07/1963,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,#NULO#,N,#NULO#
2018,SP,DEPUTADO FEDERAL,JOSE ANTONIO ALVES DA SILVA,ZÉ DA BRUEL,APTO,DEFERIDO,PARTIDO ISOLADO,PDT,PARTIDO ISOLADO,BRASILEIRA NATA,SP,13/06/1971,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,PA,DEPUTADO FEDERAL,ARNALDO JORDY FIGUEIREDO,JORDY,APTO,DEFERIDO,COLIGAÇÃO,PPS,TODOS PELO PARÁ,BRASILEIRA NATA,PA,30/11/1958,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,2500000,SUPLENTE,S,DEFERIDO
2018,RJ,DEPUTADO FEDERAL,FRANCIDELIA LIMA GOMES,FRANCIDELIA GOMES,APTO,DEFERIDO,COLIGAÇÃO,PSOL,MUDAR É POSSÍVEL,BRASILEIRA NATA,CE,19/11/1972,FEMININO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,2500000,SUPLENTE,N,DEFERIDO
2018,AC,DEPUTADO FEDERAL,MARIA PEREGRINA SOUZA E SILVA,PROFESSORA MARIA PEREGRINA,APTO,DEFERIDO,PARTIDO ISOLADO,AVANTE,PARTIDO ISOLADO,BRASILEIRA NATA,AC,06/05/1961,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,2500000,NÃO ELEITO,N,DEFERIDO
2018,PA,DEPUTADO FEDERAL,FABIANO DE OLIVEIRA VITORIANO PEREIRA,VITORIANO BILL,APTO,DEFERIDO,COLIGAÇÃO,PSOL,JUNTOS PARA MUDAR,BRASILEIRA NATA,PA,06/04/1985,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,2500000,SUPLENTE,N,DEFERIDO
2018,AM,DEPUTADO FEDERAL,PERPÉTUA PEREIRA CERQUEIRA,PERPÉTUA TSUNI KUKAMI,APTO,DEFERIDO,PARTIDO ISOLADO,PSOL,PARTIDO ISOLADO,BRASILEIRA NATA,AM,26/06/1972,FEMININO,SUPERIOR COMPLETO,VIÚVO(A),INDÍGENA,2500000,NÃO ELEITO,N,DEFERIDO
2018,RS,DEPUTADO FEDERAL,VANDERLEI ROQUE DREON,VANDERLEI DREON,APTO,DEFERIDO,COLIGAÇÃO,DEM,ENDIREITA RIO GRANDE,BRASILEIRA NATA,RS,21/04/1977,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,RR,DEPUTADO FEDERAL,RENATO ANDRADE QUEIROZ,RENATO QUEIROZ,APTO,DEFERIDO,COLIGAÇÃO,MDB,UNIDOS POR RORAIMA,BRASILEIRA NATA,RR,31/12/1983,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,SC,DEPUTADO FEDERAL,CLAUDIO ANTONIO VIGNATTI,VIGNATTI,APTO,DEFERIDO,PARTIDO ISOLADO,PT,PARTIDO ISOLADO,BRASILEIRA NATA,SC,02/02/1967,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
